time,elapsed_seconds,message
14:37:23,6.97e-05,PEST++ performance logger started
14:37:23,0.0003417,starting to process control file
14:37:24,0.781043,finished processing control file
14:37:24,0.411597,initializing
14:37:24,0.0115053,using glm algorithm
14:37:24,5.5e-05,using REDSVD for truncated svd solve
14:37:24,4.58e-05,maxsing: 10000000
14:37:24,3.55e-05,eigthresh:  1e-06
14:37:24,2.87e-05,initializing localizer
14:37:24,4.32e-05,not using localization
14:37:24,3.91e-05,using lambda multipliers: 
14:37:24,3.48e-05,using lambda scaling factors: 
14:37:24,3.2e-05,acceptable phi factor:  1.05
14:37:24,0.001157,lambda increase factor:  10
14:37:24,3.61e-05,lambda decrease factor:  0.75
14:37:24,3.17e-05,max run fail:  1
14:37:24,0.0004152,initializing prior parameter covariance matrix
14:37:24,1.36e-05,initializing parcov
14:37:24,0.0782116,parcov loaded  from parameter bounds, using par_sigma_range 4
14:37:24,0.118613,initializing observation noise covariance matrix
14:37:24,0.0084405,obscov loaded  from observation weights
14:37:24,0.0004188,using reg_factor:  0
14:37:24,2.9e-05,drawing parameter realizations:  200
14:37:25,1.00254,parameters not grouped by parameter groups, reordering par ensemble
14:37:26,0.145166,making standard normal draws
14:37:26,0.168822,scaling by std
14:37:26,0.0049958,checking realization for invalid values
14:37:26,0.0246325,resizing reals matrix
14:37:26,0.0074912,filling reals matrix and adding mean values
14:37:26,0.260284,not using prior parameter covariance matrix scaling
14:37:26,7.01e-05,drawing observation noise realizations:  200
14:37:26,0.0047581,making standard normal draws
14:37:26,0.0014808,scaling by std
14:37:26,4.82e-05,checking realization for invalid values
14:37:26,0.0004596,resizing reals matrix
14:37:26,0.000139,filling reals matrix and adding mean values
14:37:26,0.0251617,adding 'base' parameter values to ensemble
14:37:26,0.113846,adding 'base' observation values to ensemble
14:37:26,0.0034287,checking for denormal values in pe
14:37:40,13.8348,saved initial parameter ensemble to  freyberg_diagprior.0.par.csv
14:37:40,3.79e-05,checking for denormal values in obs + noise ensemble
14:37:41,0.884311,saved obs+noise observation ensemble (obsval + noise realizations) to  freyberg_diagprior.obs+noise.csv
14:37:41,9.39e-05,setting weights ensemble from control file weights
14:37:41,0.0001066,using subset in lambda testing, number of realizations used in subset testing:  4
14:37:41,2.21e-05,subset how:  RANDOM
14:37:41,0.059447,centering on ensemble mean vector
14:37:41,8.42e-05,running initial ensemble
14:37:41,2.9e-05,running initial ensemble of size 200
14:37:41,4.24e-05,queuing 200 runs
14:37:45,4.34719,making runs
